completed,valid,email,mobile,social,web,age,became_member_on,gender,income,income10K,bogo_10_5_10,bogo_10_7_10,bogo_5_5_5,bogo_5_7_5,discount_10_10_2,discount_10_7_2,discount_20_10_5,discount_7_7_3,informational_0_3_0,informational_0_4_0
1,1,1,1,0,1,75,2017,1,100000,100,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,75,2017,1,100000,100,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,75,2017,1,100000,100,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,75,2017,1,100000,100,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,118,2017,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,118,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,68,2018,2,70000,70,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,68,2018,2,70000,70,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,68,2018,2,70000,70,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,68,2018,2,70000,70,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,118,2017,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,65,2018,2,53000,53,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,65,2018,2,53000,53,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,65,2018,2,53000,53,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,65,2018,2,53000,53,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,118,2017,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,58,2017,2,51000,51,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,1,58,2017,2,51000,51,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,58,2017,2,51000,51,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,61,2017,1,57000,57,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,61,2017,1,57000,57,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,61,2017,1,57000,57,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,61,2017,1,57000,57,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,61,2017,1,57000,57,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,62,2016,1,71000,71,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,62,2016,1,71000,71,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,62,2016,1,71000,71,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,1,118,2017,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,118,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,118,2017,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,118,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,118,2017,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,1,0,0,0,0,0,0,0
